F1,F2,F3,F4,F5,F6,F7,F8
580,2.7,4.1,1,5.77172,97,M,B
580.642518,2.705515,4.108789,1.004042,5.77172,98,M,B
670,3.1,4.7,1.5,2.237331,99,M,B
670.020426,3.109654,4.708452,1.5006,2.237331,100,M,B
510,2.5,3,1.1,0.655656,101,M,B
510.682592,2.501842,3.008307,1.108047,0.655656,102,M,B
630,3.3,4.7,1.6,3.933564,103,M,B
630.276114,3.305521,4.708221,1.602166,3.933564,104,M,B
550,2.6,4.4,1.2,9.755857,105,M,B
510,3.7,1.5,0.4,3.544068,106,M,A
570,2.8,4.5,1.3,6.942877,107,M,B
570.28279,2.804438,4.50115,1.305394,6.942877,108,M,B
560,3,4.1,1.3,3.619505,109,M,B
560.714432,3.001505,4.103525,1.306051,3.619505,110,M,B
650,3,5.5,1.8,8.613203,111,M,C
650.026563,3.005055,5.503098,1.801844,8.613203,112,M,C
730,2.9,6.3,1.8,2.401587,113,M,C
640,3.1,5.5,1.8,6.60568,114,M,C
580,2.6,4,1.2,6.27704,115,M,B
460,3.2,1.4,0.2,6.409771,116,M,A
680,3,5.5,2.1,8.440565,117,M,C
640,3.2,5.3,2.3,0.786409,118,M,C
520,3.4,1.4,0.2,1.204757,119,M,A
690,3.2,5.7,2.3,1.336951,120,M,C
580,4,1.2,0.2,6.343002,121,M,A
590,3.2,4.8,1.8,5.167931,122,M,B
590.464273,3.204814,4.803824,1.809003,5.167931,123,M,B
630,2.5,5,1.9,4.5292,124,M,C
680,3.2,5.9,2.3,1.620321,125,M,C
520,2.7,3.9,1.4,0.408739,126,M,B
520.900117,2.704594,3.907539,1.408444,0.408739,127,M,B
510,3.3,1.7,0.5,1.235861,128,M,A
510.297072,3.308363,1.708527,0.5021,1.235861,129,M,A
600,?,4.5,1.5,1.540628,130,M,B
600.575464,2.900881,4.508469,1.509756,1.540628,131,M,B
590,3,5.1,1.8,5.525443,132,M,C
490,3,1.4,0.2,6.817903,133,M,A
490.522734,3.005591,1.40921,0.203337,6.817903,134,M,A
500,3.5,1.6,0.6,1.666653,135,M,A
500.282724,3.507605,1.604126,0.608982,1.666653,136,M,A
610,2.9,4.7,1.4,1.03671,137,M,B
770,2.6,6.9,2.3,8.085564,138,M,C
560,2.7,4.2,1.3,2.85696,139,M,B
560.567962,2.704013,4.208882,1.304746,2.85696,140,M,B
440,3.2,1.3,0.2,4.341573,141,M,A
670,3.3,5.7,2.1,4.124124,142,M,C
770,2.8,6.7,2,6.624799,143,M,C
540,3.7,1.5,0.2,1.96632,144,M,A
710,3,5.9,2.1,7.348762,145,M,C
650,2.8,4.6,1.5,9.791586,146,M,B
650.488509,2.804426,4.609213,1.508127,9.791586,147,M,B
510,3.8,1.6,0.2,5.73882,148,M,A
510.173629,3.805025,1.602403,0.202549,5.73882,149,M,A
620,?,5.4,2.3,8.819508,150,M,C
720,3.6,6.1,2.5,7.637033,151,M,C
650,3.2,58.594251,2,3.879975,152,M,C
520,3.5,1.5,0.2,4.969163,153,M,A
660,2.9,4.6,1.3,1.79707,154,M,B
660.415897,2.901041,4.607847,1.30588,1.79707,155,M,B
670,2.5,5.8,1.8,2.667281,156,M,C
460,3.6,1,0.2,2.123911,157,M,A
540,3.9,1.7,0.4,5.939199,158,M,A
770,3,6.1,2.3,5.649957,159,M,C
580,2.8,5.1,2.4,7.610082,160,M,C
720,3,5.8,1.6,6.082567,161,M,C
720.162874,3.000257,5.800554,1.606016,6.082567,162,M,C
500,3.4,1.6,0.4,2.202893,163,M,A
480,3.1,1.6,0.2,9.550114,164,M,A
680,2.8,4.8,1.4,7.613255,165,M,B
680.789463,2.804758,4.80206,1.400683,7.613255,166,M,B
550,4.2,1.4,0.2,9.967755,167,M,A
550.175723,4.208081,1.400427,0.20173,9.967755,168,M,A
470,3.2,1.6,0.2,8.171865,169,M,A
550,3.5,1.3,0.2,3.26378,170,M,A
550.269782,3.501301,1.305114,0.200597,3.26378,171,M,A
640,3.2,4.5,1.5,4.738621,172,M,B
640.986774,3.206679,4.501751,1.500938,4.738621,173,M,B
520,4.1,1.5,0.1,3.922261,174,M,A
520.241648,4.101099,1.506982,0.107193,3.922261,175,M,A
490,3.1,1.5,0.1,3.97767,176,M,A
550,2.4,3.8,1.1,0.074787,177,M,B
550.067232,2.402081,3.805937,1.103197,0.074787,178,M,B
670,3.1,5.6,2.4,8.822389,179,M,C
630,2.5,4.9,1.5,7.719884,180,M,B
630.590377,2.501215,4.904967,1.506133,7.719884,181,M,B
570,3,4.2,1.2,2.812229,182,M,B
570.184127,3.00606,4.204968,1.20774,2.812229,183,M,B
630,2.7,4.9,1.8,8.156229,184,M,C
490,2.4,3.3,1,3.268704,185,M,B
490.510367,2.402055,3.308518,1.006663,3.268704,186,M,B
500,3.2,1.2,0.2,5.102822,187,M,A
570,3.8,1.7,0.3,7.810734,188,M,A
570.688248,3.801384,1.708398,0.303086,7.810734,189,M,A
600,2.2,5,1.5,4.30176,190,M,C
630,2.3,4.4,1.3,3.348685,191,M,B
630.156019,2.309663,4.402727,1.300138,3.348685,192,M,B
550,2.5,4,1.3,6.40732,193,M,B
550.874703,2.507095,4.007505,1.305323,6.40732,194,M,B
580,2.7,5.1,1.9,7.37849,195,M,C
560,3,4.5,1.5,5.800656,196,M,B
560.847865,3.008426,4.505208,1.505072,5.800656,197,M,B
610,3,4.9,1.8,1.954229,198,M,C
560,2.5,3.9,1.1,0.933935,199,M,B
560,2.9,3.6,1.3,3.139047,200,M,B
560.7328,2.901686,3.6094,1.300421,3.139047,201,M,B
570,2.6,3.5,1,6.828554,202,M,B
570.017513,2.605816,3.505797,1.003729,6.828554,203,M,B
540,3.4,1.7,0.2,9.686375,204,M,A
540.527964,3.409247,1.708465,0.207612,9.686375,205,M,A
0,0,0,0,8.560578,206,M,C
760,3,6.6,2.1,3.144613,207,M,C
480,3.4,1.9,0.2,5.20924,208,M,A
500,3.5,1.3,0.3,7.493001,209,M,A
510,3.8,1.9,0.4,0.409612,210,M,A
510.175091,3.802094,1.90099,0.405099,0.409612,211,M,A
460,3.4,1.4,0.3,9.301556,212,M,A
610,2.6,5.6,1.4,5.372625,213,M,?
610.9281,2.606026,5.601573,1.407969,5.372625,214,M,C
600,3,4.8,1.8,8.297929,215,M,C
630,3.3,6,2.5,0.043447,216,M,C
590,3,4.2,1.5,2.092206,217,M,B
590.790966,3.001839,4.208829,1.500248,2.092206,218,M,B
